Playlist Name,URI,Genre,Creator
RapCaviar,spotify:playlist:37i9dQZF1DX0XUsuxWHRQd,Hip-Hop,Spotify
Feelin' Myself,spotify:playlist:37i9dQZF1DX6GwdWRQMQpq,Hip-Hop,Spotify
CST,spotify:playlist:37i9dQZF1DX91gZ5XTbTPm,Hip-Hop,Spotify
Hip-Hop Anthems: Def Jam,spotify:playlist:37i9dQZF1DX7Mq3mO5SSDc,Hip-Hop,Spotify
Get Turnt,spotify:playlist:37i9dQZF1DWY4xHQp97fN6,Hip-Hop,Spotify
Hip Hop Controller,spotify:playlist:37i9dQZF1DWT5MrZnPU1zD,Hip-Hop,Spotify
I Love My '90s Hip-Hop,spotify:playlist:37i9dQZF1DX186v583rmzp,Hip-Hop,Spotify
Tear Drop,spotify:playlist:37i9dQZF1DX6xZZEgC9Ubl,Hip-Hop,Spotify
Most Necessary,spotify:playlist:37i9dQZF1DX2RxBh64BHjQ,Hip-Hop,Spotify
Signed XOXO,spotify:playlist:37i9dQZF1DX2A29LI7xHn1,Hip-Hop,Spotify
Off The Strength,spotify:playlist:37i9dQZF1DXaxIqwkEGFEh,Hip-Hop,Spotify
Hip-Hop Drive,spotify:playlist:37i9dQZF1DWUFmyho2wkQU,Hip-Hop,Spotify
The Realest Down South,spotify:playlist:37i9dQZF1DX0Tkc6ltcBfU,Hip-Hop,Spotify
I Love My West Coast Classics,spotify:playlist:37i9dQZF1DX9sQDbOMReFI,Hip-Hop,Spotify
Varsity Bars,spotify:playlist:37i9dQZF1DXdWMJMjqz9bm,Hip-Hop,Spotify
Mellow Bars,spotify:playlist:37i9dQZF1DWT6MhXz0jw61,Hip-Hop,Spotify
I Love My '80s Hip-Hop,spotify:playlist:37i9dQZF1DX2XmsXL2WBQd,Hip-Hop,Spotify
Alternative Hip Hop,spotify:playlist:37i9dQZF1DWTggY0yqBxES,Hip-Hop,Spotify
Lofi Hip-Hop,spotify:playlist:37i9dQZF1DX36Xw4IJIVKA,Hip-Hop,Spotify
Mind Right,spotify:playlist:37i9dQZF1DX5hR0J49CmXC,Hip-Hop,Spotify
Hip Hop 90s,spotify:playlist:5fWeZI5FLdUkowl4qaglPi,Hip-Hop,Hip Hop Heroes
Hip hop BBQ radio,spotify:playlist:58ffpw3vZbjG15BzRpeqyI,Hip-Hop,irubio11-us
Hip-Hop Hits,spotify:playlist:28ONiLZsrlTPUYxmC7ZJ0f,Hip-Hop,Variation Nation
Hip Hop's Hottest Decade,spotify:playlist:5LHq6imR2SRfcsbcC7HpfH,Hip-Hop,Ashley Hesseltine
2000's Hip Hop,spotify:playlist:01pNIDYGqmeawppy32wr3D,Hip-Hop,Topsify US
Today's Top Hits,spotify:playlist:37i9dQZF1DXcBWIGoYBM5M,Pop,Spotify
Pop Rising,spotify:playlist:37i9dQZF1DWUa8ZRTfalHk,Pop,Spotify
Pumped Pop,spotify:playlist:37i9dQZF1DX5gQonLbZD9s,Pop,Spotify
Mega Hit Mix,spotify:playlist:37i9dQZF1DXbYM3nMM0oPk,Pop,Spotify
New Music Friday,spotify:playlist:37i9dQZF1DX4JAvHpjipBk,Pop,Spotify
Teen Beats,spotify:playlist:37i9dQZF1DWWvvyNmW9V9a,Pop,Spotify
Just Good Music,spotify:playlist:37i9dQZF1DX0b1hHYQtJjp,Pop,Spotify
Soft Pop Hits,spotify:playlist:37i9dQZF1DWTwnEm1IYyoj,Pop,Spotify
Hot Rhythmic,spotify:playlist:37i9dQZF1DWYs83FtTMQFw,Pop,Spotify
Hit Rewind,spotify:playlist:37i9dQZF1DX0s5kDXi1oC5,Pop,Spotify
Bedroom Pop,spotify:playlist:37i9dQZF1DXcxvFzl58uP7,Pop,Spotify
Pop Party,spotify:playlist:37i9dQZF1DWXti3N4Wp5xy,Pop,Spotify
Indie Pop,spotify:playlist:37i9dQZF1DWWEcRhUVtL8n,Pop,Spotify
Modern Soft Pop,spotify:playlist:37i9dQZF1DX0MLFaUdXnjA,Pop,Spotify
Fresh & Chill,spotify:playlist:37i9dQZF1DX5CdVP4rz81C,Pop,Spotify
Women of Pop,spotify:playlist:37i9dQZF1DX3WvGXE8FqYX,Pop,Spotify
Pop Sauce,spotify:playlist:37i9dQZF1DXaPCIWxzZwR1,Pop,Spotify
Retro Pop,spotify:playlist:37i9dQZF1DXcTieYAg7jq1,Pop,Spotify
Pop Chillout,spotify:playlist:37i9dQZF1DXbIGqYf7WDxP,Pop,Spotify
Mellow Pop,spotify:playlist:37i9dQZF1DWYp3yzk1civi,Pop,Spotify
Pop Hits 2000-2020,spotify:playlist:3rEkY4Z25FQ4x3NJ0pMxra,Pop,maka_97
Hot Country,spotify:playlist:37i9dQZF1DX1lVhptIYRda,Country,Spotify
Fresh Finds: Country,spotify:playlist:37i9dQZF1DWYUfsq4hxHWP,Country,Spotify
Chillin' on a Dirt Road,spotify:playlist:37i9dQZF1DWTkxQvqMy4WW,Country,Spotify
