,genre,songName,artistName,imageURL,songURL,lyricsURL
0,Hip-Hop,Chicago Freestyle (feat. Giveon),Drake,https://i.scdn.co/image/ab67616d00004851bba7cfaf7c59ff0898acba1f,,https://genius.com/Drake-Chicago-Freestyle-lyrics
1,Hip-Hop,THE SCOTTS,THE SCOTTS,https://i.scdn.co/image/ab67616d0000485111d6f8c713ef93a9bb64ddfe,https://p.scdn.co/mp3-preview/36bf1375c8d3f3925556744935f234b5e060e0cc?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/THE-SCOTTS-THE-SCOTTS-lyrics
2,Hip-Hop,Walk Em Down (feat. Roddy Ricch),NLE Choppa,https://i.scdn.co/image/ab67616d000048512c13070ba65fb367037b3d38,https://p.scdn.co/mp3-preview/06dc9625d973fa2fae9a7565a35fb996011f75b7?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/NLE-Choppa-Walk-Em-Down-lyrics
3,Hip-Hop,Flex (feat. Juice WRLD),Polo G,https://i.scdn.co/image/ab67616d00004851339f780dfdbc38558ea0761d,https://p.scdn.co/mp3-preview/d77be6d1c00000c41d21a17034078a30d92ba4fe?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Polo-G-Flex-lyrics
4,Hip-Hop,Solitaires (feat. Travis Scott),Future,https://i.scdn.co/image/ab67616d00004851935d8d5369bc55e74a39303e,https://p.scdn.co/mp3-preview/033d899ea32c121a1e4fb1e6608d213e68684708?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Future-Solitaires-lyrics
5,Hip-Hop,Split/Whole Time,Lil Yachty,https://i.scdn.co/image/ab67616d000048517906e66aedf55c45379ccd9f,,https://genius.com/Lil-Yachty-SplitWhole-Time-lyrics
6,Hip-Hop,WHATS POPPIN,Jack Harlow,https://i.scdn.co/image/ab67616d0000485105c50cf7a461aa654fe9b15a,,https://genius.com/Jack-Harlow-WHATS-POPPIN-lyrics
7,Hip-Hop,Deep End Freestyle,Sleepy Hallow,https://i.scdn.co/image/ab67616d00004851591dcafbc08bbcab629a7442,https://p.scdn.co/mp3-preview/c29d15dfae484c98b529a2b467b6f1e1688387fe?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Sleepy-Hallow-Deep-End-Freestyle-lyrics
8,Hip-Hop,After Party,Don Toliver,https://i.scdn.co/image/ab67616d0000485145190a074bef3e8ce868b60c,https://p.scdn.co/mp3-preview/1abc83cda35186a1de03a2141e3e94dc2be65218?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Don-Toliver-After-Party-lyrics
9,Hip-Hop,DOLLAZ ON MY HEAD (feat. Young Thug),Gunna,https://i.scdn.co/image/ab67616d00004851e99da49cbcf2e279885bec0c,https://p.scdn.co/mp3-preview/da221a0cb89e20ff1ed2303b816ba25c8927d3f8?cid=dd555e5dcb514c99bd5674e226882fcf,https://genius.com/Gunna-DOLLAZ-ON-MY-HEAD-lyrics
10,Hip-Hop,ROCKSTAR (feat. Roddy Ricch),DaBaby,https://i.scdn.co/image/ab67616d0000485120e08c8cc23f404d723b5647,,https://genius.com/DaBaby-ROCKSTAR-lyrics
